model,dataset,prompt,topk,n,mrr,hit@1,hit@3,hit@5,hit@10,hit@50
llama3.3-70b,phenopacket,pp2prompt_v2,10,6901,0.5807110425680199,0.511520069555137,0.6316475873061875,0.6712070714389219,0.7191711346181713,0.7191711346181713
llama3.3-70b,rarebench,pp2prompt_v2,3,1122,0.3382352941176471,0.30392156862745096,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
llama3.3-70b,rarebench,pp2prompt_v2,5,1122,0.36088829471182415,0.3146167557932264,0.4001782531194296,0.4385026737967914,0.4385026737967914,0.4385026737967914
llama3.3-70b,rarebench,pp2prompt_v2,10,1122,0.3941685765215177,0.3360071301247772,0.4358288770053476,0.47950089126559714,0.5106951871657754,0.5106951871657754
llama3.3-70b,rarebench,v7,3,1122,0.3135769459298871,0.25935828877005346,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056
llama3.3-70b,rarebench,v7,5,1122,0.3259209744503862,0.25846702317290554,0.38235294117647056,0.4385026737967914,0.4385026737967914,0.4385026737967914
llama3.3-70b,rarebench,v7,10,1122,0.33587662337662333,0.25846702317290554,0.38235294117647056,0.4393939393939394,0.5106951871657754,0.5106951871657754
llama3.3-70b,phenopacket,v7,3,6901,0.5718494904120176,0.5241269381249094,0.6326619330531807,0.6326619330531807,0.6326619330531807,0.6326619330531807
llama3.3-70b,phenopacket,v7,5,6901,0.5806501473216442,0.5229676858426315,0.6361396899000145,0.6719316041153456,0.6719316041153456,0.6719316041153456
llama3.3-70b,phenopacket,v7,10,6901,0.5893002624418361,0.5263005361541806,0.6368642225764382,0.6726561367917693,0.7191711346181713,0.7191711346181713
