dataset,system,model,topk,hit@1_strict,hit@5_strict,hit@10_strict,mrr_strict,hit@1_policy,hit@10_policy
rarebench/HMS,Unrestricted LLM,gemma-3-27b,N/A,0.16176470588235295,0.3382352941176471,0.36764705882352944,0.22916666666666669,0.16176470588235295,0.36764705882352944
rarebench/HMS,Unrestricted LLM,gemma-4-31b,N/A,0.1323529411764706,0.3088235294117647,0.4264705882352941,0.20575980392156865,0.1323529411764706,0.4264705882352941
rarebench/HMS,Unrestricted LLM,medgemma-27b,N/A,0.1323529411764706,0.25,0.27941176470588236,0.182125350140056,0.1323529411764706,0.27941176470588236
rarebench/HMS,Unrestricted LLM,qwen2.5-32b,N/A,0.10294117647058823,0.19117647058823528,0.25,0.1386204481792717,0.10294117647058823,0.25
rarebench/MME,PhenoDP (retriever),PhenoDP,50,0.65,0.85,0.9,0.7404166666666666,0.65,0.9
rarebench/MME,Reranker (top3),gemma3-27b,3,0.65,,0.9,0.7362499999999998,,
rarebench/MME,Unrestricted LLM,llama-3.3-70b,N/A,0.05,0.1,0.125,0.06583333333333333,0.05,0.125
rarebench/MME,Unrestricted LLM,med42-70b,N/A,0.025,0.025,0.025,0.025,0.025,0.025
rarebench/MME,Unrestricted LLM,gemma-3-27b,N/A,0.0,0.025,0.05,0.008571428571428572,0.0,0.05
rarebench/MME,Unrestricted LLM,gemma-4-31b,N/A,0.0,0.025,0.025,0.00625,0.0,0.025
rarebench/MME,Unrestricted LLM,medgemma-27b,N/A,0.0,0.05,0.075,0.015625,0.0,0.075
rarebench/MME,Unrestricted LLM,qwen2.5-32b,N/A,0.0,0.0,0.025,0.004166666666666667,0.0,0.025
rarebench/LIRICAL,PhenoDP (retriever),PhenoDP,50,0.527027027027027,0.7081081081081081,0.7594594594594595,0.610618347472991,0.527027027027027,0.7594594594594595
rarebench/LIRICAL,Reranker (top3),gemma4-31b,3,0.5324324324324324,,0.7594594594594595,0.6133210501756938,,
rarebench/LIRICAL,Unrestricted LLM,llama-3.3-70b,N/A,0.17027027027027028,0.28378378378378377,0.3324324324324324,0.2185952185952186,0.2,0.3567567567567568
rarebench/LIRICAL,Unrestricted LLM,med42-70b,N/A,0.15945945945945947,0.26216216216216215,0.3324324324324324,0.20336121836121834,0.1837837837837838,0.3567567567567568
rarebench/LIRICAL,Unrestricted LLM,gemma-4-31b,N/A,0.15675675675675677,0.25135135135135134,0.2891891891891892,0.19995388245388246,0.1864864864864865,0.3081081081081081
rarebench/LIRICAL,Unrestricted LLM,qwen2.5-32b,N/A,0.12702702702702703,0.1945945945945946,0.22702702702702704,0.15425568425568426,0.14324324324324325,0.2594594594594595
rarebench/LIRICAL,Unrestricted LLM,gemma-3-27b,N/A,0.10810810810810811,0.17027027027027028,0.21621621621621623,0.1362022737022737,0.13513513513513514,0.2594594594594595
rarebench/LIRICAL,Unrestricted LLM,medgemma-27b,N/A,0.0891891891891892,0.16756756756756758,0.2,0.12444980694980695,0.10810810810810811,0.23513513513513515
rarebench/RAMEDIS,PhenoDP (retriever),PhenoDP,50,0.10256410256410256,0.28685897435897434,0.3701923076923077,0.1919854772436576,0.10256410256410256,0.3701923076923077
rarebench/RAMEDIS,Reranker (top10),gemma4-31b,10,0.6,,1.0,0.7,,
rarebench/RAMEDIS,Unrestricted LLM,med42-70b,N/A,0.46794871794871795,0.6410256410256411,0.7243589743589743,0.548458485958486,0.46794871794871795,0.7243589743589743
rarebench/RAMEDIS,Unrestricted LLM,llama-3.3-70b,N/A,0.4599358974358974,0.6666666666666666,0.719551282051282,0.5464731449106449,0.4599358974358974,0.719551282051282
rarebench/RAMEDIS,Unrestricted LLM,qwen2.5-32b,N/A,0.30128205128205127,0.47596153846153844,0.5080128205128205,0.3746038683538684,0.30128205128205127,0.5080128205128205
rarebench/RAMEDIS,Unrestricted LLM,gemma-3-27b,N/A,0.2532051282051282,0.5016025641025641,0.5400641025641025,0.3568515974765975,0.2532051282051282,0.5400641025641025
rarebench/RAMEDIS,Unrestricted LLM,medgemma-27b,N/A,0.2483974358974359,0.5032051282051282,0.5608974358974359,0.34402090964590964,0.2483974358974359,0.5608974358974359
rarebench/RAMEDIS,Unrestricted LLM,gemma-4-31b,N/A,0.23557692307692307,0.3782051282051282,0.49038461538461536,0.2956368284493284,0.23557692307692307,0.49038461538461536
