disease,category,n_cases,n_non_ret,non_ret_rate,hpoa_annotations
"Spastic paraplegia 7, autosomal recessive",Other,3,0,0.0,43
Bethlem myopathy 1A,Muscular dystrophy / Myopathy,4,0,0.0,48
STAR syndrome,Other,6,0,0.0,41
Larsen syndrome,Other,3,0,0.0,49
Branchiooculofacial syndrome,Other,7,0,0.0,76
"Parkinson disease 15, autosomal recessive",Other,12,0,0.0,19
LMNA-related congenital muscular dystrophy,Muscular dystrophy / Myopathy,15,0,0.0,31
Bardet-Biedl syndrome 1,Other,13,0,0.0,62
"Hyper-IgE syndrome 2, autosomal recessive, with recurrent infections",Other,13,0,0.0,38
"Osteogenesis imperfecta, type IX",Skeletal dysplasia,5,0,0.0,31
Joubert syndrome 10,Other,10,0,0.0,36
Spinocerebellar ataxia 15,Epilepsy / Neurological,26,0,0.0,32
Craniometaphyseal dysplasia,Other,6,0,0.0,56
Cornelia de Lange syndrome 1,Other,60,0,0.0,125
Stiff skin syndrome,Other,8,0,0.0,13
Bardet-Biedl syndrome 2,Other,4,0,0.0,39
Van den Ende-Gupta syndrome,Other,6,0,0.0,63
Marfan lipodystrophy syndrome,Marfan / Connective tissue,9,0,0.0,49
Treacher Collins syndrome 2,Other,9,0,0.0,17
Loeys-Dietz syndrome 3,Marfan / Connective tissue,37,0,0.0,74
"Cutis laxa, autosomal recessive, type IIB",Other,6,0,0.0,51
Acromicric dysplasia,Other,13,0,0.0,20
Geleophysic dysplasia 2,Other,19,0,0.0,24
Myhre syndrome,Other,12,0,0.0,88
Multiple congenital anomalies-hypotonia-seizures syndrome 2,Epilepsy / Neurological,21,0,0.0,196
MHC class II deficiency 4,Other,4,0,0.0,20
"Polydactyly, postaxial, types A1 and B",Other,6,0,0.0,19
"Acrofacial dysostosis 1, Nager type",Skeletal dysplasia,24,0,0.0,81
"Amyloidosis, hereditary systemic 6",Other,3,0,0.0,10
Loeys-Dietz syndrome 4,Marfan / Connective tissue,32,0,0.0,45
Branched-chain keto acid dehydrogenase kinase deficiency,Other,6,0,0.0,49
"Ectodermal dysplasia 9, hair/nail type",Other,6,0,0.0,18
Developmental and epileptic encephalopathy 14,Epilepsy / Neurological,8,0,0.0,31
Citrullinemia,Other,4,0,0.0,22
Vici syndrome,Other,17,0,0.0,68
Opsismodysplasia,Other,9,0,0.0,52
Auriculocondylar syndrome 2B,Other,5,0,0.0,27
Craniofrontonasal dysplasia,Other,6,0,0.0,51
Congenital myopathy 23,Muscular dystrophy / Myopathy,8,0,0.0,43
Long QT syndrome 14,Cardiomyopathy / Arrhythmia,4,0,0.0,9
