model,dataset,prompt,topk,n_fair_cases,retriever_hit@1,retriever_mrr,reranker_hit@1,reranker_hit@3,reranker_mrr,delta_hit@1,delta_mrr
llama3.3-70b,phenopacket,pp2prompt_v2,5,4637,0.76256200129394,0.855049960462943,0.7532887642872547,0.933577744231184,0.8484868090000719,-0.009273237006685364,-0.00656315146287112
llama3.3-70b,rarebench,pp2prompt_v2,10,573,0.506108202443281,0.6576269425745865,0.6544502617801047,0.8551483420593369,0.7710809163688744,0.14834205933682365,0.1134539737942879
llama3.3-70b,rarebench,pp2prompt_v2,3,429,0.675990675990676,0.818958818958819,0.7878787878787878,1.0,0.8815073815073815,0.11188811188811187,0.06254856254856256
llama3.3-70b,rarebench,pp2prompt_v2,5,492,0.5894308943089431,0.7432588075880759,0.7113821138211383,0.9126016260162602,0.8182588075880758,0.12195121951219512,0.07499999999999984
llama3.3-70b,rarebench,v7,10,573,0.506108202443281,0.6576269425745865,0.506108202443281,0.7486910994764397,0.6576851159311892,0.0,5.817335660263101e-05
llama3.3-70b,rarebench,v7,3,429,0.675990675990676,0.818958818958819,0.6783216783216783,1.0,0.8201243201243201,0.002331002331002363,0.0011655011655011815
llama3.3-70b,rarebench,v7,5,492,0.5894308943089431,0.7432588075880759,0.5894308943089431,0.8719512195121951,0.7432588075880759,0.0,0.0
llama3.3-70b,phenopacket,v7,10,4963,0.7124722949828732,0.807799302137404,0.7318154342131775,0.8855530928873665,0.8194226162491325,0.019343139230304285,0.011623314111728456
llama3.3-70b,phenopacket,v7,3,4366,0.809894640403115,0.8937624064742709,0.8284470911589555,1.0,0.9038784547259124,0.018552450755840555,0.010116048251641585
llama3.3-70b,phenopacket,v7,5,4637,0.76256200129394,0.855049960462943,0.7783049385378478,0.9467328013802028,0.8641506721299691,0.01574293724390774,0.009100711667026085
